Journal,Started,ISSN,URL,Type,SSCI,REC,h5,IF,R2013,OP2P,DOAJ_LINK,2014_h5,NOTES
Journal of Online Learning and Teaching (JOLT),2005,1558-9528,http://jolt.merlot.org/,***,--,Yes,20,,06,,http://doaj.org/toc/1558-9528,,"Spring 2015: Merged with OLC. Will be published under the renamed ""Online Learning"" journal."
Journal of Online Learning Research,2015,2374-1473,http://www.editlib.org/j/JOLR/,Open,--,,,,x,,,,
"Journal of Open, Flexible and Distance Learning (DEANZ)",,1179-7673,http://journals.akoaotearoa.ac.nz/index.php/JOFDL/,Open,--,,,,38,,https://doaj.org/toc/1179-7673,,
Journal of Research on Technology in Education,1967,1539-1523,http://www.iste.org/jrte,Sub.,--,,,,x,,,,
Journal of Science Education and Technology,1992,1059-0145,http://link.springer.com/journal/10956,Sub.,Yes,,24,1.296,x,,,,
Journal of Special Education Technology,1978,0162-6434,http://www.tamcec.org/jset/,Sub.,--,,,,x,,,,
Journal of STEM Education : Innovations and Research (JSTEM),,1557-5284,http://ojs.jstem.org/,Open,--,,,,32,,http://doaj.org/toc/1557-5284,,
Journal of Teaching and Learning with Technology (JoTLT),,2165-2554,http://jotlt.indiana.edu,Open,--,,,,24,,http://doaj.org/toc/2165-2554,,
Journal of Technology and Education in Nigeria,1995,1118-5570,http://www.ajol.info/joten,Sub.,--,,,,x,,,,
Journal of Technology and Science Education (JoTSE),,2013-6374,http://www.jotse.org/,Open,--,,,,40,,http://doaj.org/toc/2013-6374,,
Journal of Technology and Teacher Education,1993,1059-7069,http://www.aace.org/pubs/jtate/,Sub.,--,,,,x,,,,
Journal of Technology Education (JTE),1989,1045-1064,http://scholar.lib.vt.edu/ejournals/JTE/,Open,--,Yes,-,,17,,http://doaj.org/toc/1045-1064,,
Journal of Technology in Human Services,1985,1522-8991,http://wweb.uta.edu/faculty/schoech/cussn/jths/,Sub.,--,,,,x,,,,
Journal of Technology Studies,,1071-6084,http://scholar.lib.vt.edu/ejournals/JOTS/,Sub.,--,,,,x,,,,
"Journal of Technology, Learning and Assessment",,1540-2525,http://escholarship.bc.edu/jtla/,Sub.,--,,,,x,,,,
Journal of the American Society for Information Science and Technology ,1950,1532-2882,http://www.asis.org/jasist.html,Sub.,Yes,,54,2.381,x,,,,
Journal of the Learning Sciences,,1050-8406,http://www.tandfonline.com/toc/hlns20/current#.VNE_ly4mGR8,S/O,Yes,,-,3.26,x,,,,
Journal of Universal Computer Science (J.UCS),1994,0948-6968,http://www.jucs.org,Sub.,--,,,,x,,,,
Journal of Universal Science and Technology of Learning,2006,1991-0940,http://www.justl.org,Sub.,--,,,,x,,,,
Journal of Virtual Worlds Research (JVWR),,1941-8477,http://jvwresearch.org/,Open,--,,,,52,,http://doaj.org/toc/1941-8477,,
Journal of Visual Literacy,1981,1051-144X,http://www.ivla.org,Sub.,--,,,,x,,,,
Journal of Web Semantics,2003,1570-8268,http://www.journals.elsevier.com/journal-of-web-semantics/,Sub.,Yes,,-,2.05,x,,,,
Journal of Workplace Learning,,1366-5626,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=jwl,Sub.,--,,,,x,,,,
Jurnal Teknologi,,1979-3405,http://www.jurnalteknologi.utm.my/,Open,--,,,,67,,http://doaj.org/toc/1979-3405,,
"Kairos: rhetoric, technology, pedagogy",1996,1521-2300,http://english.ttu.edu/Kairos/,Open,--,Yes,,,33,,http://doaj.org/toc/1521-2300,,
Know Genesis International Journal for Technical Communication,,0973-9408,http://calls.eserver.org/item/160,Sub.,--,,,,x,,,,
Knowledge Management & E-Learning (KM&EL),,2073-7904,http://www.kmel-journal.org/ojs/,Open,--,,,,54,,http://doaj.org/toc/2073-7904,,
Kybernetes,1972, 0368-492X,http://www.emeraldgrouppublishing.com/k.htm,Sub.,Yes,,15,0.377,x,,,,
"Language, Learning and Technology (LLT)",1997,1094-3501,http://llt.msu.edu/,Open,Yes,Yes,22,2.362,35,,http://doaj.org/toc/1094-3501,24,
Learning & Leading with Technology,1979,1082-5754,http://www.learningandleading-digital.com/,Sub.,--,,,,x,,,,
Learning and Instruction,1991,0959-4752,http://www.journals.elsevier.com/learning-and-instruction/,Sub.,Yes,,48,4.071,x,,,,
Learning Environments Research,1998,1573-1855,http://link.springer.com/journal/10984,Sub.,--,,,,x,,,,
Learning Technology:IEEE Computer Society,1999,1438-0625,http://www.ieeetclt.org/,Sub.,--,,,,x,,,,
"Learning, Media & Technology",1975,1743-9884,http://www.tandfonline.com/cjem,Sub.,Yes,,19,1.529,x,,,20,
Lifelong Learning in Europe (LLinE),,1239-6826,http://www.lline.fi/,Sub.,--,,,,x,,,,
Mathematics and Computer Education,1967,0730-8639,http://www.macejournal.org/,Sub.,--,,,,x,,,,
Mathematics Education Trends and Research (METR),,2195-4372,http://ispacs.com/metr/,Open,--,,,,68,,http://doaj.org/toc/2195-4372,,
Memory and Cognition,1973,1532-5946,http://link.springer.com/journal/13421,Sub.,Yes,,-,2.489,x,,,,
